15,546,6.072,2.532,12,fran-mccaffery-1,iowa,2025,texas-am-commerce
12,192,9.942,8.556,3,chris-collins-3,northwestern,2025,lehigh
4,55,5.92,8.018,0,ben-johnson-2,minnesota,2025,oral-roberts
1,235,12.615,6.311,6,eric-musselman-1,southern-california,2025,chattanooga
2,207,6.12,2.559,3,mike-rhoades-1,penn-state,2025,binghamton
1,122,1.722,0.315,3,danny-sprinkle-1,washington,2025,california-davis
5,75,-1.166,-1.598,0,eric-olen-1,california-san-diego,2025,san-diego-state
15,312,2.443,-1.015,2,russ-turner-1,california-irvine,2025,
2,53,-1.83,-3.9,0,andy-newman-1,cal-state-northridge,2025,st-bonaventure
5,86,-0.086,-0.95,0,mike-magpayo-1,california-riverside,2025,oregon
8,220,-1.435,-3.71,2,joe-pasternack-1,california-santa-barbara,2025,
14,364,-1.212,-0.18,2,jim-les-1,california-davis,2025,washington
10,173,0.323,-1.885,1,eran-ganot-1,hawaii,2025,
14,394,-0.525,0.248,4,rod-barnes-1,cal-state-bakersfield,2025,california
1,11,-3.62,1.04,0,mike-degeorge-1,cal-poly,2025,san-francisco
1,7,-10.24,-0.21,0,chris-acker-1,long-beach-state,2025,
12,161,-5.267,-1.643,2,dedrique-taylor-1,cal-state-fullerton,2025,grand-canyon
14,232,-2.602,-2.4,0,pat-skerry-1,towson,2025,saint-marys-ca
5,101,-1.202,-3.874,0,takayo-siddle-1,north-carolina-wilmington,2025,
1,299,12.45,7.17,9,chris-mack-1,college-of-charleston,2025,southern-illinois
1,113,-4.441,-2.496,0,brian-earl-1,william-mary,2025,
12,184,-7.868,-6.213,0,kevin-mcgeehan-1,campbell,2025,
14,218,-5.27,-3.318,0,king-rice-1,monmouth,2025,michigan-state
3,203,-6.066,-4.273,1,billy-taylor-1,elon,2025,north-carolina
1,16,-4.57,-3.68,0,ivan-thomas-1,hampton,2025,
9,230,-5.36,-4.644,1,zach-spiker-1,drexel,2025,
19,297,-1.228,-1.027,2,bill-coen-1,northeastern,2025,boston-university
4,79,1.108,-1.742,0,speedy-claxton-1,hofstra,2025,
9,143,-5.034,-3.55,1,martin-ingelsby-1,delaware,2025,bucknell
2,146,-6.467,-1.533,1,monte-ross-1,north-carolina-at,2025,
6,198,-3.571,-1.414,0,geno-ford-1,stony-brook,2025,marquette
9,254,-1.879,-2.767,4,ray-harper-1,jacksonville-state,2025,
12,431,2.532,-0.75,3,ritchie-mckay-1,liberty,2025,valparaiso
7,199,-3.201,-1.673,1,nick-mcdevitt-1,middle-tennessee,2025,
2,289,-3.356,-3.945,0,jason-hooten-1,new-mexico-state,2025,
2,31,-3.54,-2.35,0,antoine-pettway-1,kennesaw-state,2025,
4,203,-5.951,-4.326,2,joe-golding-1,texas-el-paso,2025,
3,55,2.077,0.037,0,talvin-hester-1,louisiana-tech,2025,
1,15,1.37,1.81,0,hank-plona-1,western-kentucky,2025,wichita-state
2,32,-1.07,0.095,0,chris-mudge-1,sam-houston-state,2025,nevada
7,96,-5.539,-1.763,0,jeremy-ballard-1,florida-international,2025,rice
15,248,-6.167,-5.237,1,andrew-toole-1,robert-morris,2025,west-virginia
3,61,-2.647,-4.517,0,daniyal-robinson-1,cleveland-state,2025,michigan
1,19,-3.51,-5.26,0,ethan-faulkner-1,youngstown-state,2025,
3,157,-5.944,-5.743,0,bart-lundy-1,milwaukee,2025,
11,198,-3.588,-4.438,0,jon-coffman-1,ipfw,2025,
26,450,-1.656,-1.497,4,greg-kampe-1,oakland,2025,
6,282,1.749,-0.541,2,darrin-horn-1,northern-kentucky,2025,florida-state
1,13,-4.33,-3.41,0,clint-sargent-1,wright-state,2025,kentucky
