Seed1,Team1,Team1_id,Score1,Seed2,Team2,Team2_id,Score2,Winner,Winner_id,Year
8,Colorado St,36,56.0,1,Louisville,97,82.0,0,97,2013
12,Oregon,2483,74.0,4,Saint Louis,139,57.0,1,2483,2013
6,Memphis,235,48.0,3,Michigan St,127,70.0,0,127,2013
7,Creighton,156,50.0,2,Duke,150,66.0,0,150,2013
9,Wichita St,2724,76.0,1,Gonzaga,2250,70.0,1,2724,2013
13,La Salle,2325,76.0,12,Ole Miss,145,74.0,1,2325,2013
14,Harvard,108,51.0,6,Arizona,12,74.0,0,12,2013
10,Iowa State,66,75.0,2,Ohio State,194,78.0,0,194,2013
8,North Carolina,153,58.0,1,Kansas,2305,70.0,0,2305,2013
5,VCU,2670,53.0,4,Michigan,130,78.0,0,130,2013
11,Minnesota,135,64.0,3,Florida,57,78.0,0,57,2013
15,FGCU,526,81.0,7,San Diego St,21,71.0,1,526,2013
9,Temple,218,52.0,1,Indiana,84,58.0,0,84,2013
12,California,25,60.0,4,Syracuse,183,66.0,0,183,2013
6,Butler,2086,72.0,3,Marquette,269,74.0,0,269,2013
7,Illinois,356,59.0,2,Miami,2390,63.0,0,2390,2013
12,Oregon,2483,69.0,1,Louisville,97,77.0,0,97,2013
3,Michigan St,127,61.0,2,Duke,150,71.0,0,150,2013
13,La Salle,2325,58.0,9,Wichita St,2724,72.0,0,2724,2013
6,Arizona,12,70.0,2,Ohio State,194,73.0,0,194,2013
4,Michigan,130,87.0,1,Kansas,2305,85.0,1,130,2013
15,FGCU,526,50.0,3,Florida,57,62.0,0,57,2013
4,Syracuse,183,61.0,1,Indiana,84,50.0,1,183,2013
3,Marquette,269,71.0,2,Miami,2390,61.0,1,269,2013
2,Duke,150,63.0,1,Louisville,97,85.0,0,97,2013
9,Wichita St,2724,70.0,2,Ohio State,194,66.0,1,2724,2013
4,Michigan,130,79.0,3,Florida,57,59.0,1,130,2013
4,Syracuse,183,55.0,3,Marquette,269,39.0,1,183,2013
9,Wichita St,2724,68.0,1,Louisville,97,72.0,0,97,2013
4,Michigan,130,61.0,4,Syracuse,183,56.0,1,130,2013
4,Michigan,130,76.0,1,Louisville,97,82.0,0,97,2013
16,UAlbany,399,55.0,1,Florida,57,67.0,0,57,2014
9,Pitt,221,77.0,8,Colorado,38,48.0,1,221,2014
12,SF Austin,2617,77.0,5,VCU,2670,75.0,1,2617,2014
13,Tulsa,202,59.0,4,UCLA,26,76.0,0,26,2014
11,Dayton,2168,60.0,6,Ohio State,194,59.0,1,2168,2014
14,W Michigan,2711,53.0,3,Syracuse,183,77.0,0,183,2014
10,Stanford,24,58.0,7,New Mexico,167,53.0,1,24,2014
15,E Kentucky,2198,69.0,2,Kansas,2305,80.0,0,2305,2014
16,Coastal Car,324,59.0,1,Virginia,258,70.0,0,258,2014
9,G Washington,45,66.0,8,Memphis,235,71.0,0,235,2014
12,Harvard,108,61.0,5,Cincinnati,2132,57.0,1,108,2014
13,Delaware,48,78.0,4,Michigan St,127,93.0,0,127,2014
11,Providence,2507,77.0,6,North Carolina,153,79.0,0,153,2014
14,NC Central,2428,75.0,3,Iowa State,66,93.0,0,66,2014
10,Saint Joseph's,2603,81.0,7,UConn,41,89.0,0,41,2014
15,Milwaukee,270,53.0,2,Villanova,222,73.0,0,222,2014
16,Weber St,2692,59.0,1,Arizona,12,68.0,0,12,2014
9,Oklahoma St,197,77.0,8,Gonzaga,2250,85.0,0,2250,2014
12,N Dakota St,2449,80.0,5,Oklahoma,201,75.0,1,2449,2014
13,New Mexico St,166,69.0,4,San Diego St,21,73.0,0,21,2014
11,Nebraska,158,60.0,6,Baylor,239,74.0,0,239,2014
14,Louisiana,309,66.0,3,Creighton,156,76.0,0,156,2014
10,BYU,252,68.0,7,Oregon,2483,87.0,0,2483,2014
15,American,44,35.0,2,Wisconsin,275,75.0,0,275,2014
16,Cal Poly,13,37.0,1,Wichita St,2724,64.0,0,2724,2014
9,Kansas St,2306,49.0,8,Kentucky,96,56.0,0,96,2014
12,NC State,152,80.0,5,Saint Louis,139,83.0,0,139,2014
13,Manhattan,2363,64.0,4,Louisville,97,71.0,0,97,2014
11,Tennessee,2633,86.0,6,UMass,113,67.0,1,2633,2014
14,Mercer,2382,78.0,3,Duke,150,71.0,1,2382,2014
10,Arizona St,9,85.0,7,Texas,251,87.0,0,251,2014
15,Wofford,2747,40.0,2,Michigan,130,57.0,0,130,2014
9,Pitt,221,45.0,1,Florida,57,61.0,0,57,2014
12,SF Austin,2617,60.0,4,UCLA,26,77.0,0,26,2014
11,Dayton,2168,55.0,3,Syracuse,183,53.0,1,2168,2014
10,Stanford,24,60.0,2,Kansas,2305,57.0,1,24,2014
8,Memphis,235,60.0,1,Virginia,258,78.0,0,258,2014
12,Harvard,108,73.0,4,Michigan St,127,80.0,0,127,2014
6,North Carolina,153,83.0,3,Iowa State,66,85.0,0,66,2014
7,UConn,41,77.0,2,Villanova,222,65.0,1,41,2014
8,Gonzaga,2250,61.0,1,Arizona,12,84.0,0,12,2014
12,N Dakota St,2449,44.0,4,San Diego St,21,63.0,0,21,2014
6,Baylor,239,85.0,3,Creighton,156,55.0,1,239,2014
7,Oregon,2483,77.0,2,Wisconsin,275,85.0,0,275,2014
8,Kentucky,96,78.0,1,Wichita St,2724,76.0,1,96,2014
5,Saint Louis,139,51.0,4,Louisville,97,66.0,0,97,2014
14,Mercer,2382,63.0,11,Tennessee,2633,83.0,0,2633,2014
7,Texas,251,65.0,2,Michigan,130,79.0,0,130,2014
4,UCLA,26,68.0,1,Florida,57,79.0,0,57,2014
11,Dayton,2168,82.0,10,Stanford,24,72.0,1,2168,2014
4,Michigan St,127,61.0,1,Virginia,258,59.0,1,127,2014
7,UConn,41,81.0,3,Iowa State,66,76.0,1,41,2014
4,San Diego St,21,64.0,1,Arizona,12,70.0,0,12,2014
6,Baylor,239,52.0,2,Wisconsin,275,69.0,0,275,2014
8,Kentucky,96,74.0,4,Louisville,97,69.0,1,96,2014
11,Tennessee,2633,71.0,2,Michigan,130,73.0,0,130,2014
11,Dayton,2168,52.0,1,Florida,57,62.0,0,57,2014
7,UConn,41,60.0,4,Michigan St,127,54.0,1,41,2014
2,Wisconsin,275,64.0,1,Arizona,12,63.0,1,275,2014
8,Kentucky,96,75.0,2,Michigan,130,72.0,1,96,2014
7,UConn,41,63.0,1,Florida,57,53.0,1,41,2014
8,Kentucky,96,74.0,2,Wisconsin,275,73.0,1,96,2014
8,Kentucky,96,54.0,7,UConn,41,60.0,0,41,2014
16,Hampton,2261,56.0,1,Kentucky,96,79.0,0,96,2015
9,Purdue,2509,65.0,8,Cincinnati,2132,66.0,0,2132,2015
12,Buffalo,2084,62.0,5,West Virginia,277,68.0,0,277,2015
13,Valparaiso,2674,62.0,4,Maryland,120,65.0,0,120,2015
11,Texas,251,48.0,6,Butler,2086,56.0,0,2086,2015
14,Northeastern,111,65.0,3,Notre Dame,87,69.0,0,87,2015
10,Indiana,84,76.0,7,Wichita St,2724,81.0,0,2724,2015
15,New Mexico St,166,56.0,2,Kansas,2305,75.0,0,2305,2015
