Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
4,Syracuse,183,1,Indiana,84,1,183,2013
3,Marquette,269,2,Miami,2390,1,269,2013
2,Duke,150,1,Louisville,97,0,97,2013
9,Wichita St,2724,2,Ohio State,194,1,2724,2013
4,Michigan,130,3,Florida,57,1,130,2013
4,Syracuse,183,3,Marquette,269,1,183,2013
9,Wichita St,2724,1,Louisville,97,0,97,2013
4,Michigan,130,4,Syracuse,183,1,130,2013
4,Michigan,130,1,Louisville,97,0,97,2013
16,UAlbany,399,1,Florida,57,0,57,2014
9,Pitt,221,8,Colorado,38,1,221,2014
12,SF Austin,2617,5,VCU,2670,1,2617,2014
13,Tulsa,202,4,UCLA,26,0,26,2014
11,Dayton,2168,6,Ohio State,194,1,2168,2014
14,W Michigan,2711,3,Syracuse,183,0,183,2014
10,Stanford,24,7,New Mexico,167,1,24,2014
15,E Kentucky,2198,2,Kansas,2305,0,2305,2014
16,Coastal Car,324,1,Virginia,258,0,258,2014
9,G Washington,45,8,Memphis,235,0,235,2014
12,Harvard,108,5,Cincinnati,2132,1,108,2014
13,Delaware,48,4,Michigan St,127,0,127,2014
11,Providence,2507,6,North Carolina,153,0,153,2014
14,NC Central,2428,3,Iowa State,66,0,66,2014
10,Saint Joseph's,2603,7,UConn,41,0,41,2014
15,Milwaukee,270,2,Villanova,222,0,222,2014
16,Weber St,2692,1,Arizona,12,0,12,2014
9,Oklahoma St,197,8,Gonzaga,2250,0,2250,2014
12,N Dakota St,2449,5,Oklahoma,201,1,2449,2014
13,New Mexico St,166,4,San Diego St,21,0,21,2014
11,Nebraska,158,6,Baylor,239,0,239,2014
14,Louisiana,309,3,Creighton,156,0,156,2014
10,BYU,252,7,Oregon,2483,0,2483,2014
15,American,44,2,Wisconsin,275,0,275,2014
16,Cal Poly,13,1,Wichita St,2724,0,2724,2014
9,Kansas St,2306,8,Kentucky,96,0,96,2014
12,NC State,152,5,Saint Louis,139,0,139,2014
13,Manhattan,2363,4,Louisville,97,0,97,2014
11,Tennessee,2633,6,UMass,113,1,2633,2014
14,Mercer,2382,3,Duke,150,1,2382,2014
10,Arizona St,9,7,Texas,251,0,251,2014
15,Wofford,2747,2,Michigan,130,0,130,2014
9,Pitt,221,1,Florida,57,0,57,2014
12,SF Austin,2617,4,UCLA,26,0,26,2014
11,Dayton,2168,3,Syracuse,183,1,2168,2014
10,Stanford,24,2,Kansas,2305,1,24,2014
8,Memphis,235,1,Virginia,258,0,258,2014
12,Harvard,108,4,Michigan St,127,0,127,2014
6,North Carolina,153,3,Iowa State,66,0,66,2014
7,UConn,41,2,Villanova,222,1,41,2014
8,Gonzaga,2250,1,Arizona,12,0,12,2014
12,N Dakota St,2449,4,San Diego St,21,0,21,2014
6,Baylor,239,3,Creighton,156,1,239,2014
7,Oregon,2483,2,Wisconsin,275,0,275,2014
8,Kentucky,96,1,Wichita St,2724,1,96,2014
5,Saint Louis,139,4,Louisville,97,0,97,2014
14,Mercer,2382,11,Tennessee,2633,0,2633,2014
7,Texas,251,2,Michigan,130,0,130,2014
4,UCLA,26,1,Florida,57,0,57,2014
11,Dayton,2168,10,Stanford,24,1,2168,2014
4,Michigan St,127,1,Virginia,258,1,127,2014
7,UConn,41,3,Iowa State,66,1,41,2014
4,San Diego St,21,1,Arizona,12,0,12,2014
6,Baylor,239,2,Wisconsin,275,0,275,2014
8,Kentucky,96,4,Louisville,97,1,96,2014
11,Tennessee,2633,2,Michigan,130,0,130,2014
11,Dayton,2168,1,Florida,57,0,57,2014
7,UConn,41,4,Michigan St,127,1,41,2014
