Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
8,Gonzaga,2250,9,Oklahoma St,197,1,2250,2014
5,Oklahoma,201,12,N Dakota St,2449,0,2449,2014
4,San Diego St,21,13,New Mexico St,166,1,21,2014
6,Baylor,239,11,Nebraska,158,1,239,2014
3,Creighton,156,14,Louisiana,309,1,156,2014
7,Oregon,2483,10,BYU,252,1,2483,2014
2,Wisconsin,275,15,American,44,1,275,2014
1,Wichita St,2724,16,Cal Poly,13,1,2724,2014
8,Kentucky,96,9,Kansas St,2306,1,96,2014
5,Saint Louis,139,12,NC State,152,1,139,2014
4,Louisville,97,13,Manhattan,2363,1,97,2014
6,UMass,113,11,Tennessee,2633,0,2633,2014
3,Duke,150,14,Mercer,2382,0,2382,2014
7,Texas,251,10,Arizona St,9,1,251,2014
2,Michigan,130,15,Wofford,2747,1,130,2014
1,Florida,57,9,Pitt,221,1,57,2014
12,SF Austin,2617,4,UCLA,26,0,26,2014
11,Dayton,2168,3,Syracuse,183,1,2168,2014
10,Stanford,24,2,Kansas,2305,1,24,2014
1,Virginia,258,8,Memphis,235,1,258,2014
12,Harvard,108,4,Michigan St,127,0,127,2014
6,North Carolina,153,3,Iowa State,66,0,66,2014
7,UConn,41,2,Villanova,222,1,41,2014
1,Arizona,12,8,Gonzaga,2250,1,12,2014
12,N Dakota St,2449,4,San Diego St,21,0,21,2014
6,Baylor,239,3,Creighton,156,1,239,2014
7,Oregon,2483,2,Wisconsin,275,0,275,2014
1,Wichita St,2724,8,Kentucky,96,0,96,2014
5,Saint Louis,139,4,Louisville,97,0,97,2014
11,Tennessee,2633,14,Mercer,2382,1,2633,2014
7,Texas,251,2,Michigan,130,0,130,2014
1,Florida,57,4,UCLA,26,1,57,2014
11,Dayton,2168,10,Stanford,24,1,2168,2014
1,Virginia,258,4,Michigan St,127,0,127,2014
3,Iowa State,66,7,UConn,41,0,41,2014
1,Arizona,12,4,San Diego St,21,1,12,2014
6,Baylor,239,2,Wisconsin,275,0,275,2014
8,Kentucky,96,4,Louisville,97,1,96,2014
11,Tennessee,2633,2,Michigan,130,0,130,2014
1,Florida,57,11,Dayton,2168,1,57,2014
4,Michigan St,127,7,UConn,41,0,41,2014
1,Arizona,12,2,Wisconsin,275,0,275,2014
8,Kentucky,96,2,Michigan,130,1,96,2014
1,Florida,57,7,UConn,41,0,41,2014
2,Wisconsin,275,8,Kentucky,96,0,96,2014
7,UConn,41,8,Kentucky,96,1,41,2014
1,Kentucky,96,16,Hampton,2261,1,96,2015
8,Cincinnati,2132,9,Purdue,2509,1,2132,2015
5,West Virginia,277,12,Buffalo,2084,1,277,2015
4,Maryland,120,13,Valparaiso,2674,1,120,2015
6,Butler,2086,11,Texas,251,1,2086,2015
3,Notre Dame,87,14,Northeastern,111,1,87,2015
7,Wichita St,2724,10,Indiana,84,1,2724,2015
2,Kansas,2305,15,New Mexico St,166,1,2305,2015
1,Wisconsin,275,16,Coastal Car,324,1,275,2015
8,Oregon,2483,9,Oklahoma St,197,1,2483,2015
5,Arkansas,8,12,Wofford,2747,1,8,2015
4,North Carolina,153,13,Harvard,108,1,153,2015
6,Xavier,2752,11,Ole Miss,145,1,2752,2015
3,Baylor,239,14,Georgia St,2247,0,2247,2015
7,VCU,2670,10,Ohio State,194,0,194,2015
2,Arizona,12,15,Texas Southern,2640,1,12,2015
1,Villanova,222,16,Lafayette,322,1,222,2015
8,NC State,152,9,LSU,99,1,152,2015
5,Northern Iowa,2460,12,Wyoming,2751,1,2460,2015
4,Louisville,97,13,UC Irvine,300,1,97,2015
6,Providence,2507,11,Dayton,2168,0,2168,2015
3,Oklahoma,201,14,UAlbany,399,1,201,2015
7,Michigan St,127,10,Georgia,61,1,127,2015
2,Virginia,258,15,Belmont,2057,1,258,2015
1,Duke,150,16,Robert Morris,2523,1,150,2015
8,San Diego St,21,9,St John's,2599,1,21,2015
5,Utah,254,12,SF Austin,2617,1,254,2015
4,Georgetown,46,13,E Washington,331,1,46,2015
6,SMU,2567,11,UCLA,26,0,26,2015
3,Iowa State,66,14,UAB,5,0,5,2015
7,Iowa,2294,10,Davidson,2166,1,2294,2015
2,Gonzaga,2250,15,N Dakota St,2449,1,2250,2015
1,Kentucky,96,8,Cincinnati,2132,1,96,2015
5,West Virginia,277,4,Maryland,120,1,277,2015
6,Butler,2086,3,Notre Dame,87,0,87,2015
7,Wichita St,2724,2,Kansas,2305,1,2724,2015
1,Wisconsin,275,8,Oregon,2483,1,275,2015
5,Arkansas,8,4,North Carolina,153,0,153,2015
6,Xavier,2752,14,Georgia St,2247,1,2752,2015
10,Ohio State,194,2,Arizona,12,0,12,2015
1,Villanova,222,8,NC State,152,0,152,2015
5,Northern Iowa,2460,4,Louisville,97,0,97,2015
11,Dayton,2168,3,Oklahoma,201,0,201,2015
7,Michigan St,127,2,Virginia,258,1,127,2015
1,Duke,150,8,San Diego St,21,1,150,2015
5,Utah,254,4,Georgetown,46,1,254,2015
11,UCLA,26,14,UAB,5,1,26,2015
7,Iowa,2294,2,Gonzaga,2250,0,2250,2015
1,Kentucky,96,5,West Virginia,277,1,96,2015
3,Notre Dame,87,7,Wichita St,2724,1,87,2015
1,Wisconsin,275,4,North Carolina,153,1,275,2015
6,Xavier,2752,2,Arizona,12,0,12,2015
8,NC State,152,4,Louisville,97,0,97,2015
3,Oklahoma,201,7,Michigan St,127,0,127,2015
1,Duke,150,5,Utah,254,1,150,2015
11,UCLA,26,2,Gonzaga,2250,0,2250,2015
1,Kentucky,96,3,Notre Dame,87,1,96,2015
1,Wisconsin,275,2,Arizona,12,1,275,2015
4,Louisville,97,7,Michigan St,127,0,127,2015
1,Duke,150,2,Gonzaga,2250,1,150,2015
1,Kentucky,96,1,Wisconsin,275,0,275,2015
7,Michigan St,127,1,Duke,150,0,150,2015
1,Wisconsin,275,1,Duke,150,0,150,2015
1,Kansas,2305,16,Austin Peay,2046,1,2305,2016
8,Colorado,38,9,UConn,41,0,41,2016
5,Maryland,120,12,S Dakota St,2571,1,120,2016
4,California,25,13,Hawai’i,62,0,62,2016
6,Arizona,12,11,Wichita St,2724,0,2724,2016
3,Miami,2390,14,Buffalo,2084,1,2390,2016
7,Iowa,2294,10,Temple,218,1,2294,2016
2,Villanova,222,15,UNC Asheville,2427,1,222,2016
1,Oregon,2483,16,Holy Cross,107,1,2483,2016
8,Saint Joseph's,2603,9,Cincinnati,2132,1,2603,2016
